What,Timestamp,Email Address,I enjoy reading the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught in the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend these notes to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I enjoy doing the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught through the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend the activities to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),How long do you think you spent on this lesson?,Please rate your overall experience. Is this experience satisfying?,Age,"Additional feedback. Please write down if you have some thoughts on what you like about the lesson, what you think could be improved or some other feedback. All feedback are welcomed! "
FBD-Lesson4,4/23/2021 21:15:00,,6,6,6,6,6,6,Less than 30 minutes,Not sure,18,
FBD-Lesson4,8/3/2021 17:47,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,17,
FBD-Lesson4,8/5/2021 21:03,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,13,Nothing. 
FBD-Lesson4,8/5/2021 22:05,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,That lesson is a good prime cause for a bright future.
FBD-Lesson4,8/5/2021 22:49,,8,3,8,8,6,8,Less than 30 minutes,Not satisfying,13,This lessons are nice 
FBD-Lesson4,8/6/2021 7:43,,10,5,10,10,10,10,Between 60 to 90 minutes,Very satisfying,14,
FBD-Lesson4,8/6/2021 18:32,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson4,8/6/2021 19:37,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/6/2021 22:48,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson4,8/7/2021 11:42,,10,5,10,10,10,10,Less than 30 minutes,Satisfying,17,
FBD-Lesson4,8/7/2021 13:20,,10,4,10,8,10,10,Between 60 to 90 minutes,Very satisfying,17,
FBD-Lesson4,8/7/2021 14:07,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,13,THANK YOU FOR THE INFORMATION.
FBD-Lesson4,8/7/2021 15:40,,8,4,8,10,8,10,Between 30 to 60 minutes,Satisfying,13,The information given is really handy to me . I gain a wealth of knowledge here . Thank you very much
FBD-Lesson4,8/7/2021 16:36,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson4,8/7/2021 17:09,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,"It's good overall, but it would be better if the games can speed up a bit."
FBD-Lesson4,8/7/2021 18:00,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,add background music
FBD-Lesson4,8/7/2021 18:58,,10,5,8,10,10,8,Less than 30 minutes,Satisfying,13,"This is already good enough, thank you!"
FBD-Lesson4,8/7/2021 19:03,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,13,This is good enough.Thank you.
FBD-Lesson4,8/7/2021 19:32,,8,4,8,10,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/7/2021 20:07,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,"Thanks for the slides, I had learned a lot."
FBD-Lesson4,8/7/2021 21:24,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,I enjoyed it! 😊
FBD-Lesson4,8/7/2021 22:04,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,Very good
FBD-Lesson4,8/8/2021 8:27,,10,5,10,10,10,10,More than 90 minutes,Satisfying,13,I love the questions.
FBD-Lesson4,8/8/2021 10:13,,6,3,6,6,6,6,Between 30 to 60 minutes,Not sure,17,
FBD-Lesson4,8/8/2021 14:51,,8,4,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson4,8/8/2021 15:21,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
FBD-Lesson4,8/8/2021 16:10,,10,5,10,8,8,10,Between 30 to 60 minutes,Satisfying,16,i like the wordwall quizzes ^^
FBD-Lesson4,8/8/2021 17:10,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,13,This is very good.
FBD-Lesson4,8/8/2021 19:48,,10,5,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,Nice .
FBD-Lesson4,8/8/2021 20:57,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/9/2021 15:19,,10,5,8,10,10,8,Between 30 to 60 minutes,Very satisfying,15,
FBD-Lesson4,8/9/2021 15:44,,8,4,6,6,6,6,More than 90 minutes,Not satisfying,16,I can't edit the comic part 
FBD-Lesson4,8/9/2021 19:46,,8,4,8,8,8,8,Between 30 to 60 minutes,Not sure,16,
FBD-Lesson4,8/9/2021 19:49,,10,5,10,10,10,10,Between 60 to 90 minutes,Very satisfying,15,TING XIN LING
FBD-Lesson4,8/9/2021 21:37,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,.
FBD-Lesson4,8/9/2021 21:53,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,.
FBD-Lesson4,8/9/2021 22:31,,8,4,10,8,8,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/9/2021 23:21,,10,5,8,10,10,8,Between 60 to 90 minutes,Satisfying,16,I really enjoyed the games. I hope you can Keep it up
FBD-Lesson4,8/10/2021 0:53,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/10/2021 0:54,,8,4,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson4,8/10/2021 3:11,,8,4,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson4,8/10/2021 9:53,,10,5,8,10,8,8,Between 30 to 60 minutes,Satisfying,13,
FBD-Lesson4,8/10/2021 10:47,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,I very like of this lesson.
FBD-Lesson4,8/10/2021 12:13,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson4,8/10/2021 15:08,,8,4,8,8,8,8,Between 30 to 60 minutes,Not satisfying,14,
FBD-Lesson4,8/10/2021 16:43,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,no
FBD-Lesson4,8/10/2021 17:01,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson4,8/10/2021 23:27,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson4,8/10/2021 23:33,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/11/2021 12:06,,10,5,10,10,8,10,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/11/2021 12:36,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson4,8/11/2021 13:40,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,15,
FBD-Lesson4,8/11/2021 16:11,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/11/2021 16:54,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,
FBD-Lesson4,8/11/2021 17:13,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/11/2021 17:22,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson4,8/11/2021 17:37,,10,5,10,8,10,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/11/2021 17:48,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson4,8/11/2021 18:34,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson4,8/11/2021 20:20,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson4,8/11/2021 21:54,,6,3,6,8,6,6,Between 30 to 60 minutes,Satisfying,15,
FBD-Lesson4,8/11/2021 22:17,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,13,
FBD-Lesson4,8/11/2021 22:27,,10,5,10,10,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson4,8/11/2021 23:11,,10,4,10,8,8,10,Between 30 to 60 minutes,Satisfying,15,-
FBD-Lesson4,8/11/2021 23:12,,10,5,10,10,10,10,Between 60 to 90 minutes,Very satisfying,13,
FBD-Lesson4,8/12/2021 1:00,,10,5,10,10,10,10,Between 30 to 60 minutes,Satisfying,13,
FBD-Lesson4,8/12/2021 9:22,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,15,
FBD-Lesson4,8/12/2021 10:39,,10,4,10,8,8,10,Less than 30 minutes,Satisfying,17,nice presentation
FBD-Lesson4,8/12/2021 16:19,,10,5,10,8,8,10,Less than 30 minutes,Very satisfying,13,Love this!
FBD-Lesson4,8/12/2021 22:37,,8,4,8,8,8,8,Less than 30 minutes,Satisfying,16,dont pose fake information 
FBD-Lesson4,8/13/2021 0:22:54,,8,3,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson4,8/13/2021 0:24:05,,8,4,8,8,8,8,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson4,8/13/2021 0:24:33,,10,5,10,10,10,10,Less than 30 minutes,Very satisfying,17,The notes are very informative!
FBD-Lesson4,8/13/2021 3:50:05,,8,4,8,8,10,8,Between 30 to 60 minutes,Satisfying,15,now i know how to check the true or false news
FBD-Lesson4,8/13/2021 14:08:42,,6,2,4,8,6,4,Less than 30 minutes,Satisfying,15,"overall great for me, reasons I'm not gonna share them to my fam because they kinda stupid and would not understand it"
